,Sp1,Sp2,Sp3,$\psi_{t}^{Sp1}$,$\psi_{t}^{Sp2}$,$\psi_{t}^{Sp3}$
Ea \& Pa \& Sm,Ea,Pa,Sm,0.0,0.0,-10.0
Ea \& Pch \& Pa,Ea,Pch,Pa,0.0,0.0,0.0
Ea \& Pch \& Sm,Ea,Pch,Sm,0.0,0.0,-10.0
Ea \& Pf \& Sm,Ea,Pf,Sm,0.0,0.0,-10.0
Pa \& Ea \& Pci,Pa,Ea,Pci,0.0,0.0,-10.0
Pa \& Pf \& Pci,Pa,Pf,Pci,0.0,0.0,-10.0
Pa \& Sm \& Pci,Pa,Sm,Pci,0.0,0.0,-10.0
Pch \& Ea \& Pci,Pch,Ea,Pci,0.0,0.0,0.0
Pch \& Ea \& Pf,Pch,Ea,Pf,0.0,0.0,0.0
Pch \& Pp \& Pf,Pch,Pp,Pf,0.0,0.0,0.0
Pch \& Sm \& Pci,Pch,Sm,Pci,0.0,0.0,0.0
Pp \& Ea \& Pv,Pp,Ea,Pv,0.0,0.0,0.0
Pp \& Pa \& Pv,Pp,Pa,Pv,0.0,0.0,0.0
Pp \& Pa \& Sm,Pp,Pa,Sm,0.0,0.0,-10.0
Pp \& Pch \& Pa,Pp,Pch,Pa,0.0,0.0,0.0
Pp \& Pf \& Pci,Pp,Pf,Pci,0.0,0.0,-10.0
Pp \& Pf \& Pv,Pp,Pf,Pv,0.0,0.0,0.0
Pp \& Pf \& Sm,Pp,Pf,Sm,0.0,0.0,-10.0
Pv \& Pch \& Pa,Pv,Pch,Pa,0.0,0.0,0.0
Pv \& Pf \& Pci,Pv,Pf,Pci,0.0,0.0,0.0
Pv \& Sm \& Pci,Pv,Sm,Pci,0.0,0.0,-10.0
Sm \& Pch \& Pa,Sm,Pch,Pa,0.0,0.0,0.0
Ea \& Pci \& Sm,Ea,Pci,Sm,0.0,0.0,10.0
Pch \& Pv \& Pf,Pch,Pv,Pf,0.0,0.0,10.0
Pch \& Sm \& Pf,Pch,Sm,Pf,0.0,0.0,10.0
Pp \& Ea \& Pci,Pp,Ea,Pci,0.0,0.0,10.0
Pp \& Pch \& Pv,Pp,Pch,Pv,-10.0,0.0,0.0
Pp \& Pch \& Sm,Pp,Pch,Sm,0.0,0.0,-10.0
Pf \& Pa \& Sm,Pf,Pa,Sm,0.0,0.0,0.0
Pf \& Pci \& Ea,Pf,Pci,Ea,0.0,0.0,0.0
Pf \& Pp \& Ea,Pf,Pp,Ea,0.0,0.0,0.0
Pf \& Pv \& Ea,Pf,Pv,Ea,0.0,0.0,0.0
Pf \& Sm \& Pci,Pf,Sm,Pci,0.0,0.0,0.0
Pp \& Pa \& Ea,Pp,Pa,Ea,0.0,0.0,0.0
Pv \& Pa \& Ea,Pv,Pa,Ea,0.0,0.0,0.0
Pv \& Pch \& Ea,Pv,Pch,Ea,0.0,0.0,0.0
Pf \& Pa \& Ea,Pf,Pa,Ea,-10.0,0.0,0.0
Pf \& Pa \& Pp,Pf,Pa,Pp,-10.0,0.0,0.0
Pf \& Pa \& Pv,Pf,Pa,Pv,-10.0,0.0,0.0
Pf \& Sm \& Pv,Pf,Sm,Pv,-10.0,0.0,0.0
Pp \& Pch \& Ea,Pp,Pch,Ea,-10.0,0.0,0.0
Sm \& Pa \& Pv,Sm,Pa,Pv,-10.0,0.0,0.0
Sm \& Pv \& Pch,Sm,Pv,Pch,-10.0,0.0,0.0
Pci \& Pp \& Pa,Pci,Pp,Pa,0.0,0.0,0.0
Pci \& Pp \& Pch,Pci,Pp,Pch,0.0,0.0,0.0
Pci \& Pv \& Pa,Pci,Pv,Pa,0.0,0.0,0.0
Pci \& Pv \& Pch,Pci,Pv,Pch,0.0,0.0,0.0
Sm \& Pp \& Ea,Sm,Pp,Ea,0.0,0.0,0.0
Pch \& Pf \& Pci,Pch,Pf,Pci,0.0,0.0,0.0
Pf \& Pch \& Pa,Pf,Pch,Pa,0.0,0.0,0.0
Pp \& Sm \& Pci,Pp,Sm,Pci,0.0,0.0,0.0
Pp \& Sm \& Pv,Pp,Sm,Pv,0.0,0.0,0.0
Pci \& Pch \& Pa,Pci,Pch,Pa,0.0,0.0,0.0
Pv \& Pp \& Pci,Pv,Pp,Pci,0.0,0.0,0.0
